Sector,Accuracy,Precision,Recall,F1 Score
Business Equipment,0.734375,0.7533333333333333,0.889763779527559,0.8158844765342961
Chemicals,0.7777777777777778,0.7307692307692307,1.0,0.8444444444444444
Durable Goods,0.7555555555555555,0.7037037037037037,0.8636363636363636,0.7755102040816326
Energy,0.8270676691729323,0.803921568627451,0.9647058823529412,0.8770053475935828
Financials,0.7380952380952381,0.8571428571428571,0.6923076923076923,0.7659574468085106
Healthcare,0.704,0.6886792452830188,0.948051948051948,0.7978142076502732
Manufacturing,0.751269035532995,0.7611940298507462,0.8571428571428571,0.8063241106719368
Non-Durable Goods,0.8771929824561403,0.8888888888888888,0.967032967032967,0.9263157894736842
Other,0.7649402390438247,0.8048780487804879,0.7388059701492538,0.7704280155642024
Retail,0.810126582278481,0.8543689320388349,0.8543689320388349,0.8543689320388349
Telecommunications,0.7564102564102564,0.7954545454545454,0.7777777777777778,0.7865168539325843
Utilities,0.8994082840236687,0.9130434782608695,0.98,0.9453376205787781
